,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1766.5732309999999,2000,13.035819,-0.21948969999999998,-0.047472164000000004,0.01365976,0.15216044,-0.029677072999999998,0.054200932,-0.122639336,0.004286729699999999,0.20291531,0.016996168
1,-1556.193909,4000,28.551913,-0.22798985,-0.06168396,0.028432524,0.13856232,-0.04301094,0.026989294,-0.1269336,-0.00067074515,0.21271242,0.011755634
2,-1603.59842,6000,43.386953000000005,-0.23598377,-0.1019287,0.08391625400000001,0.12353659,-0.007982094,0.06101478,-0.079335,0.0050184857,0.21982074,0.026317987999999997
3,-1484.832829,8000,57.16373299999999,-0.23534675,-0.09292819999999999,0.069459185,0.10871301,0.0035331004999999997,0.15940870000000001,-0.011026602,0.019042391000000002,0.23239474,0.0141543755
4,-1216.917924,10000,70.481432,-0.23491703,-0.10716118,0.041595797999999996,0.11739019,-0.0025357407999999997,0.17113568,0.011490985,0.018636484,0.23188208,0.01794917
5,-1541.104577,12000,85.954521,-0.24333483,-0.08662356,0.038385103999999996,0.13282457,0.049889262999999996,0.19803351,0.0016436207999999998,0.036148973,0.20755497,0.044970468
6,-1586.797916,14000,97.636464,-0.23179846,-0.07065798,0.012153615,0.13948378,0.09636061,0.20662919,0.0029622547,0.035460096,0.20580608,0.04931942
7,-991.6187470000001,16000,109.814752,-0.24120250000000001,-0.06299912,0.00677344,0.13513373,0.105246596,0.19823599,0.0051344170000000005,0.029369192000000002,0.20108020000000001,0.068517864
8,-951.184267,18000,124.887984,-0.23621951,-0.075622015,0.008624159000000001,0.13648728,0.10617508,0.19786832,0.012790073,0.017786346,0.199986,0.07803281
9,-920.1451710000001,20000,138.2779,-0.23931947,-0.07870504,0.003995541500000001,0.13441032,0.121647604,0.2014317,-0.006570134,0.009921765,0.19898996,0.06192631
10,-1105.886756,22000,153.341959,-0.22992617,-0.0697914,0.018904032,0.122024626,0.11588429,0.20900789999999997,0.015295218999999999,0.023161879,0.18736444,0.04513828
11,-1721.423593,24000,166.749022,-0.24620716,-0.06453189,0.01212,0.11422141,0.10971643,0.21390517,0.01722988,0.022851484,0.1781921,0.04734575
12,-1612.190803,26000,179.741951,-0.25073987,-0.07059333,-0.012084763500000002,0.108074225,0.10807247,0.22021455,0.012804862,0.021794662000000003,0.17656608,0.04663974
13,-1208.03037,28000,192.63239099999998,-0.24780528,-0.06360542,-0.04320377,0.10450730000000001,0.10813998400000001,0.2363901,0.004975243,0.028285342999999998,0.17956749,0.034150448
14,-1137.088185,30000,204.771906,-0.2468344,-0.06260221,-0.07446610000000001,0.09079251,0.10501251,0.24037175,-0.0022651439999999998,0.036046434,0.18238916,0.02772266
15,-1605.984559,32000,218.012769,-0.23391421,-0.07590812400000001,-0.073727585,0.08147842400000001,0.1150279,0.23943733,0.0044561545,0.037536822000000004,0.18392088,0.04151376
16,-1162.01194,34000,230.71939700000001,-0.21717742,-0.081957676,-0.07933127,0.055266958,0.10820285,0.23914379,0.011038023000000001,0.044934858,0.18518393,0.054309443
17,-1174.306818,36000,244.070904,-0.20946766,-0.08628541,-0.083762296,0.034975152,0.09866223,0.26080704,0.007098674300000001,0.04024835,0.18943313,0.07073225
18,-1401.1817369999999,38000,256.310475,-0.21113876,-0.093326405,-0.060154952000000005,0.030279199,0.09234119,0.27505007,0.0068494864,0.03973641,0.19330329,0.08833455
19,-1322.3778539999998,40000,269.61398399999996,-0.21181616,-0.082696915,-0.06759693,0.03964004,0.08610269,0.27344662,-0.0066372724,0.041608762,0.20359722,0.092472605
20,-1554.684444,42000,282.77686800000004,-0.20839386,-0.0854602,-0.07063089,0.041838836000000004,0.078371905,0.27148205,-0.022284916000000002,0.03160571,0.21247858,0.09322502
21,-1258.169785,44000,296.756948,-0.20908827,-0.09722259,-0.07315861,0.046454105999999995,0.07340005,0.26375633,-0.03943838,0.02660928,0.21925630000000002,0.09761288
22,-1395.092321,46000,310.137179,-0.21584067,-0.093433455,-0.04766769999999999,0.04626629,0.07821202,0.25086108,-0.044447463,0.02324452,0.22459064,0.09796858
23,-1439.84671,48000,324.14036600000003,-0.24702293,-0.08236982,-0.05463859,0.036198102,0.07606085,0.22428608,-0.045828238,0.022764962000000003,0.23178442,0.08885524
24,-1215.026057,50000,336.83036400000003,-0.26533526,-0.07950648,-0.05736435,0.023308355,0.07350257,0.21015842,-0.038905557,0.024010634,0.23266071,0.09069507
25,-1678.0948850000002,52000,349.003712,-0.29248909999999995,-0.081034645,-0.06441251,0.025645776000000002,0.06568588,0.20349617,-0.032315343999999996,0.025977816,0.22650771,0.08456215
26,-1079.911235,54000,361.617493,-0.31090159999999994,-0.09412669,-0.07540828,0.031265787999999996,0.067018345,0.20843221,-0.028144881,0.027895482000000003,0.22143739999999998,0.0806046
27,-1557.6399880000001,56000,373.322196,-0.30275983,-0.10395363,-0.07370358,0.02601867,0.07359735,0.19428135,-0.031790987,0.033878878,0.22454126,0.07838559
28,-1052.6599119999998,58000,385.136853,-0.2899593,-0.099085435,-0.07311737,0.017562713,0.07405252,0.17010152,-0.017106833000000002,0.032694776,0.22609721,0.08200594
29,-775.001501,60000,397.863558,-0.27581316,-0.11538817,-0.06292207,0.020406784,0.08663002,0.16375138,-0.012931903,0.03416,0.23041888,0.0821759
30,-861.9952519999999,62000,411.94802999999996,-0.26424015,-0.1182979,-0.07048414,0.034161564,0.08781271,0.17075609,-0.019916821,0.035974703999999996,0.23602553,0.084639065
31,-1253.887076,64000,423.567214,-0.2609292,-0.1093969,-0.06918398,0.040866252,0.09359473,0.17655632,-0.035330627,0.042978752,0.24889529999999999,0.093745366
32,-1117.053987,66000,435.921767,-0.26319423,-0.10673316,-0.07991942,0.056753118,0.09619939,0.19053727,-0.042058975,0.047981545,0.24962927,0.10353407
33,-1249.065349,68000,448.990357,-0.27648684,-0.10545118,-0.07185352,0.06411043,0.097247355,0.19120571,-0.06936139599999999,0.05683566,0.25681415,0.104038894
34,-886.2345720000001,70000,462.45849000000004,-0.29038600000000003,-0.09911681,-0.07975812,0.06964780000000001,0.10266001,0.19149108,-0.0757212,0.060726546,0.25841638,0.10324324
35,-990.045564,72000,473.628594,-0.30614665,-0.09802983,-0.08434860000000001,0.08259992,0.10385891,0.1874918,-0.08057508,0.057884984,0.26253653,0.09007356
36,-958.701027,74000,484.867588,-0.31608748,-0.10723839,-0.07206441,0.10081355,0.097908475,0.18764882,-0.0840008,0.053452532999999997,0.26655152,0.08502348
37,-1624.589195,76000,496.199946,-0.32584903,-0.12199965,-0.069002904,0.12568106,0.09931549,0.19017668,-0.099890865,0.052612606,0.26806122,0.08843208
38,-1702.3325109999998,78000,508.260138,-0.32412905,-0.121225245,-0.06739051,0.13852589,0.09422036,0.19557802,-0.09347260000000002,0.050883133,0.26371324,0.08514345400000001
39,-1004.7147630000001,80000,521.836747,-0.325133,-0.12162722,-0.07224992,0.15733740000000002,0.09527187,0.1933934,-0.09819793,0.05759003,0.25991556,0.08348389
40,-824.397913,82000,534.4718799999999,-0.32578838,-0.11866037,-0.069367014,0.15537758,0.09345298,0.19359325,-0.09377462,0.0630638,0.26446095,0.08853541
41,-968.7104410000001,84000,546.6439230000001,-0.3304663,-0.106878184,-0.05372851,0.14650115,0.08344446,0.1828975,-0.08300683,0.074320786,0.2650691,0.07102078
42,-1011.4496,86000,558.500932,-0.31172790000000006,-0.11317044,-0.020997932,0.14047112,0.08028968,0.18625166,-0.07581802,0.07366333,0.28075567,0.067176536
43,-1522.571216,88000,570.514448,-0.29306465,-0.10149048,-0.017564738,0.14585088,0.08699432,0.1947539,-0.061083682,0.082201034,0.27831256,0.061950165999999994
44,-965.875216,90000,582.841207,-0.29626048,-0.09650457,-0.019572152,0.15765385,0.07210609,0.17662826,-0.06403993,0.09021699999999999,0.27236894,0.063008495
45,-805.433069,92000,596.169442,-0.30391204,-0.089907266,-0.0052530536999999995,0.15030518,0.049567732999999996,0.16581377,-0.048409596,0.0811588,0.27359915,0.049508437999999995
46,-1008.7962279999999,94000,608.8484269999999,-0.29580224,-0.09124249999999999,0.005552143000000001,0.15253028,0.03845307,0.1660359,-0.041937333,0.08074123400000001,0.28294894,0.042296465
47,-1030.6903539999998,96000,622.222961,-0.28885534,-0.10409844,0.014943168500000001,0.15032583,0.03569223,0.17731056,-0.030756962000000002,0.0901508,0.28247178,0.030671496
48,-657.3363049999999,98000,634.141858,-0.2941018,-0.10372854,0.038943,0.14701872,0.031189252,0.17592931,-0.034215704,0.098101236,0.29768288,0.028593065
49,-884.259092,100000,647.990863,-0.30528668,-0.08565302,0.044328723,0.13617064,0.026067289,0.17130327,-0.03673326,0.103832535,0.3076084,0.018535893
50,-967.6780550000001,102000,660.224821,-0.3219927,-0.06752836,0.045957368,0.12627722,0.020101499,0.16038224,-0.025777877999999997,0.11212994,0.312739,0.015282555
51,-892.045259,104000,672.83136,-0.3397312,-0.06997753,0.03362292,0.12415994,0.019260261,0.156969,-0.011833313,0.1061472,0.30921143,0.01011775
52,-993.982474,106000,684.916897,-0.3390665,-0.075255536,0.03481378,0.12026032,0.016093425,0.14275731,7.686928e-05,0.103877895,0.31859708,0.011297202
53,-1604.630498,108000,697.089605,-0.33948827,-0.08380616,0.020926686,0.12870349,0.011654926999999999,0.1343363,0.0107522365,0.107856356,0.32390050000000004,0.015386355
54,-1414.226937,110000,709.5054660000001,-0.34673578,-0.09372682,0.007135054599999999,0.122361556,0.019815685,0.14644867,0.01993151,0.10963911,0.3203664,-0.008207822
55,-1625.033547,112000,722.358209,-0.34860998,-0.09931429,0.010265182,0.122577116,0.006621393000000001,0.14341020000000002,0.03124804,0.11243481,0.31714028,-0.0047635073
56,-861.665617,114000,734.70825,-0.34797627,-0.111864954,0.016558632,0.11533697,0.00884276,0.14212233,0.04894731,0.10557583,0.3137993,-0.02398182
57,-855.4642349999999,116000,747.0418940000001,-0.34538496,-0.12447532,0.019868243,0.10539718,0.0047649929999999995,0.15047666,0.05189572,0.10681291,0.30971894,-0.030513102
58,-1008.013832,118000,761.450889,-0.33756462,-0.14481828,0.032629024,0.11253019,0.0031660825,0.15271935,0.042708665,0.12319196,0.31364575,-0.028456988
59,-998.3008980000001,120000,774.758769,-0.33251020000000003,-0.14901759,0.02898271,0.12773088,0.009939414,0.16777141,0.024617532,0.111915365,0.32174394,-0.041658267
60,-663.1706379999999,122000,785.991664,-0.32969788,-0.14421402,0.03032974,0.13011764,0.0150053445,0.17930543,0.014646262,0.11747596,0.31892896,-0.05114849
61,-969.2102359999999,124000,798.201751,-0.3375176,-0.1357867,0.031059233,0.14368445,0.019686658,0.18338628,0.0269005,0.11259084,0.3274723,-0.05831766
62,-1234.792475,126000,810.682375,-0.34313005,-0.1293907,0.024999458,0.15028189,0.027512837000000002,0.19455984,0.04552336,0.10122276,0.32151729999999995,-0.042422167999999996
63,-1003.279941,128000,822.373792,-0.33654964,-0.13593155,0.015712475,0.15957025,0.022753615,0.18304975,0.06179169999999999,0.094102696,0.3188554,-0.038353257
64,-998.067427,130000,834.772448,-0.3228592,-0.14904718,0.016871179,0.15915698,0.012548203999999999,0.17802076,0.07462223,0.084601074,0.32301965,-0.0465503
65,-869.0147599999999,132000,847.2865029999999,-0.30654737,-0.15571728,0.020096665,0.15910225,0.03296958,0.19976307,0.09915293,0.10222732,0.32267815,-0.050951406
66,-1276.117403,134000,859.670249,-0.29791647,-0.1635215,0.025940314,0.16752170000000002,0.041317478,0.20184673,0.109080754,0.10494154,0.329106,-0.05842206
67,-623.552674,136000,873.0683720000001,-0.29533052,-0.16168470000000001,0.01934443,0.19186981,0.053738028,0.21290189,0.10114951400000001,0.10762487,0.3314478,-0.045989323
68,-595.021183,138000,887.552818,-0.28393292,-0.15029794,0.021222424,0.19767591,0.06973356,0.23222179999999998,0.09988557,0.116883494,0.3387612,-0.03268846
69,-784.946632,140000,902.746974,-0.25610825,-0.13225344,0.03641947,0.21860796,0.09035428599999999,0.26249138,0.10644511,0.11100231,0.34147963,-0.041304793
70,-805.326419,142000,914.860559,-0.24600172,-0.13011582,0.044973332000000005,0.22425976,0.10129294,0.2765537,0.11227017,0.12983134,0.35856694,-0.05779087
71,-878.0440890000001,144000,926.332932,-0.2437576,-0.106494375,0.022556135,0.22790820000000003,0.093012266,0.27716622,0.10586751,0.14917558,0.364152,-0.08435149
72,-909.0765789999999,146000,937.823756,-0.23621577,-0.09760153,0.0032278306,0.23065618,0.09957907,0.29087490000000005,0.12607184,0.15695897,0.37308988,-0.09379565
73,-902.03486,148000,949.185455,-0.24019128,-0.109391585,-0.011257557,0.2401228,0.10227684,0.3044073,0.14556189,0.16220047,0.38093257,-0.09242923
74,-964.5524429999999,150000,960.4582949999999,-0.23014282,-0.13361448,-0.005963291999999999,0.24119377,0.09896519999999999,0.30317917,0.15268812,0.15634885,0.39351952,-0.07888479
75,-1100.320892,152000,973.14189,-0.23785296,-0.124767944,-0.0013300614000000001,0.23759057,0.10511885,0.31165227,0.14759728,0.15425354,0.39342213,-0.06657303
76,-822.686965,154000,985.570416,-0.23176039999999998,-0.12016904,-0.011218931000000001,0.23582615,0.114941515,0.31475878,0.13382089,0.16467884,0.40965414,-0.06493875
77,-640.331817,156000,997.6258050000001,-0.23308778,-0.12977448,-0.0048145936,0.2545129,0.12128573,0.32017490000000004,0.10803099999999999,0.16081266,0.42861566,-0.099122554
78,-883.8254390000001,158000,1010.2479119999999,-0.21841381,-0.12093008,-0.021624768,0.256239,0.11625830000000001,0.33254644,0.09618326,0.1804019,0.43034154,-0.13070184
79,-627.3723769999999,160000,1022.7623550000001,-0.20588462,-0.122772664,-0.03488156,0.2510729,0.11083968,0.3257381,0.11288592,0.17360608,0.44306135,-0.14573656
80,-637.643082,162000,1036.390525,-0.18628661,-0.12603866,-0.05882948,0.23917356,0.12260245,0.32325113,0.13093111,0.18198723,0.47237948,-0.18323688
81,-788.8885019999999,164000,1051.078316,-0.17750137,-0.13940626,-0.07177872,0.24803609999999998,0.12194068,0.32272790000000007,0.15070882,0.17605910000000002,0.47497097,-0.17829418
82,-1093.5811039999999,166000,1065.331149,-0.17551628,-0.12619041,-0.06863895,0.23926759,0.116083965,0.31707865,0.15358417,0.17342584,0.48370457,-0.19559503
83,-1674.83393,168000,1079.494154,-0.17018032,-0.13041514,-0.056217168,0.23271263,0.105102055,0.30442128,0.12992162,0.17541449,0.48825607,-0.20129392
84,-509.338575,170000,1094.024674,-0.15253977,-0.13531746,-0.04780925,0.24013579,0.11174129,0.29943737,0.10134317,0.1518385,0.4935714,-0.20509349999999998
85,-1017.7208789999999,172000,1110.264254,-0.16141422,-0.1367138,-0.060999297,0.23955356,0.11655493,0.31174347,0.06883337,0.13507116,0.48773175,-0.14652053
86,-1025.336319,174000,1124.7556240000001,-0.16092673,-0.15343903,-0.059248045,0.22777349,0.13582845,0.33929446,0.051241703,0.11587615,0.48157784,-0.0802097
87,-592.6386110000001,176000,1139.6185560000001,-0.1609682,-0.16444226,-0.06959066,0.22548560000000004,0.12984042,0.33453979999999994,0.0090163415,0.10428251,0.4900013,-0.057958037000000004
88,-656.141394,178000,1155.172198,-0.16187271,-0.18590572,-0.09193729,0.21619149,0.13948272,0.34242859999999997,0.0015727266,0.09594447,0.49680278,-0.03082855
89,-687.271386,180000,1169.397927,-0.1562762,-0.1768645,-0.11604247,0.20036483,0.13196586,0.34987497,0.010062364,0.10823726,0.5047471,-0.015194345
90,-776.998429,182000,1184.062871,-0.14766046,-0.11307954,-0.1791544,0.18213369,0.13099654,0.36521083,0.012905817,0.14350598,0.5058424,-0.017000955
91,-816.919814,184000,1198.631169,-0.1346716,-0.124028265,-0.18326408,0.17805403,0.119154066,0.3692111,0.0034061002,0.15007086,0.5092282,-0.028123777000000003
92,-1081.6575050000001,186000,1213.331815,-0.14036244,-0.11846409,-0.17228755,0.16580108,0.12876093,0.37610775,0.01942004,0.16374364,0.50681835,-0.028457757
93,-683.54,188000,1227.808067,-0.14931284,-0.14177746,-0.16098985,0.16086057,0.12564728,0.40199307,-0.00079176057,0.16559322,0.50428987,-0.027415987000000003
94,-1130.73086,190000,1242.353022,-0.14964618,-0.14891076,-0.109020874,0.15292487,0.1335239,0.41777393,-0.04488118,0.18021376,0.50793105,-0.053314004000000005
95,-1145.647894,192000,1256.916073,-0.14946684,-0.13867359,-0.08425887,0.1561621,0.13438103,0.41101086,-0.029705781,0.17388007,0.51526093,-0.05830049
96,-1185.187895,194000,1271.223623,-0.15479061,-0.11837762,-0.09231636,0.16747516,0.16109279999999998,0.42387158,-0.084319614,0.16379896,0.51594466,-0.06861015
97,-1508.491794,196000,1285.746144,-0.14716786,-0.093020745,-0.10634185,0.16048864,0.18205151,0.43700507,-0.11243683,0.14860718,0.51706487,-0.039618928
98,-724.475715,198000,1300.217451,-0.13868602,-0.056068473,-0.053774286,0.17476065,0.19465944,0.44446164,-0.10674991,0.13293386,0.52522045,-0.058984972999999996
99,-1152.433951,200000,1314.685112,-0.12819860000000002,-0.052012086,-0.016555683999999998,0.19698113,0.20161556,0.45914227,-0.10659244,0.120916046,0.5348634,-0.059472699999999996
100,-740.039342,202000,1329.188666,-0.11744133,-0.049712047,0.013054447,0.23381352,0.21486646,0.4564015,-0.09287166,0.10821926,0.54093224,-0.058102245999999996
101,-1121.618567,204000,1343.692873,-0.11769474,-0.037749107999999996,0.012662343999999999,0.24876115,0.19956481,0.46237984,-0.08198621,0.11496902,0.556851,-0.06356569999999999
102,-935.8873150000001,206000,1358.243403,-0.10973621,-0.0614885,0.017556383999999998,0.25991878,0.20054206,0.45777774,-0.09136256,0.09137464,0.5689529000000001,-0.08795108
103,-659.336438,208000,1372.823275,-0.1046549,-0.08577144,0.025362932999999997,0.26896295,0.19578214,0.46601734,-0.10827591,0.07869982,0.5719069999999999,-0.1070827
104,-1091.2055619999999,210000,1387.529541,-0.10498503599999999,-0.08998288,0.009118276,0.28111490000000006,0.21134214,0.46617493,-0.13263042,0.06168439,0.5714982,-0.14774637
105,-696.048466,212000,1402.071394,-0.11920222,-0.10509054,-0.0012472859,0.25645494,0.2008415,0.46298006,-0.1793249,0.07528907,0.558657,-0.15914765
106,-571.956156,214000,1416.417334,-0.11169082,-0.12891093,-0.0028194177,0.264098,0.20485811,0.45958757,-0.19786744,0.08057278400000001,0.5577219,-0.1533184
107,-704.255676,216000,1430.985681,-0.10335776,-0.15102854,0.022218897999999997,0.26937872,0.21350692,0.45336187,-0.21555515,0.07262918,0.5656405,-0.19054614
108,-1081.2418910000001,218000,1445.359365,-0.09629062599999999,-0.16566549,0.03314209,0.27472857,0.22524218,0.43340498,-0.25545229999999997,0.06455656,0.57889163,-0.23630776
109,-601.318378,220000,1459.890388,-0.10196617,-0.18834357,0.05266722,0.27359828,0.2119781,0.42463946,-0.25534916,0.06956868,0.5871565,-0.29252312
110,-1699.0920629999998,222000,1474.419843,-0.11177273,-0.22144634,0.03285105,0.25556710000000005,0.19319187,0.42111564,-0.24935853,0.09105502,0.58942384,-0.25200665
111,-974.6866560000001,224000,1488.79323,-0.10184278,-0.2885688,0.0373973,0.24871409,0.17532086,0.41283235,-0.29422724,0.08827882,0.5997326,-0.23954935
112,-933.0258859999999,226000,1503.354691,-0.09803888,-0.30155644,0.058442645,0.22751357,0.16037488,0.41726592,-0.3166658,0.09421987,0.59579194,-0.22430827
113,-521.928119,228000,1517.853036,-0.087545715,-0.29706309999999997,0.073882975,0.24194278,0.17524926,0.39874452,-0.30313033,0.09100316,0.5989982,-0.25125676
114,-675.0720309999999,230000,1532.4443310000001,-0.07474092,-0.283706,0.087187216,0.23029359,0.20077513,0.38004667,-0.3277427,0.09577193,0.6011797,-0.25202543
115,-729.189737,232000,1547.080769,-0.08667222,-0.2862867,0.08034553,0.23099776,0.22705938,0.38028148,-0.34363973,0.09012542,0.6041692,-0.263164
116,-631.6053919999999,234000,1561.758451,-0.08228285,-0.28194967,0.06953216,0.24683109,0.24039455,0.35040745,-0.34122258,0.08944577,0.62198305,-0.21571226
117,-759.041521,236000,1576.422921,-0.101647556,-0.27398890000000004,0.059274207999999995,0.25845218,0.23383299,0.31548825,-0.29746214,0.10572229999999999,0.6254134,-0.19022848
118,-737.57599,238000,1591.078237,-0.128829,-0.26667982,0.0665354,0.251042,0.23510224,0.30626324,-0.27585298,0.13913055,0.61545974,-0.17690171
119,-613.23768,240000,1605.7227710000002,-0.13781333,-0.27641132,0.07466310000000001,0.25022107,0.2378863,0.30763102,-0.25201583,0.15513594,0.63113594,-0.18116294
120,-654.0870259999999,242000,1620.311487,-0.13858771,-0.29434940000000004,0.07181889,0.2422712,0.2269951,0.3094498,-0.26077753,0.17853312,0.6474723000000001,-0.16620217
121,-712.045759,244000,1635.005627,-0.12556627,-0.29638135,0.07338958,0.25883928,0.21079701,0.32062373,-0.26004544,0.18098675,0.6789411999999999,-0.14666541
122,-699.529587,246000,1649.757239,-0.12513602,-0.2758771,0.0900972,0.23527595,0.21389952,0.31114408,-0.26301098,0.2008432,0.68754864,-0.14137709
123,-609.799611,248000,1664.249709,-0.11835456,-0.26046285,0.060546804,0.22985603,0.20897771,0.31559044,-0.27789173,0.2120348,0.68688595,-0.13076769
124,-728.4273,250000,1679.321023,-0.123454854,-0.25233883,0.042242333,0.22905323,0.20183510000000002,0.32741216,-0.28284135,0.23715515,0.6791099,-0.13418067
125,-642.33161,252000,1695.96078,-0.13747843,-0.2396103,0.025638132999999997,0.21711883,0.20932685,0.328679,-0.30325209999999997,0.26448327,0.6673237,-0.12258691
126,-606.48339,254000,1711.718675,-0.13072202,-0.26369062,0.027162682,0.19838056,0.20159891,0.3394795,-0.28464829999999997,0.27560514,0.6594535,-0.1157664
127,-1024.871809,256000,1726.9417239999998,-0.12750955,-0.27828902,0.030794488,0.17166789999999998,0.19930057,0.3466267,-0.27419475,0.27919155,0.65196204,-0.099692404
128,-539.516507,258000,1742.069477,-0.11364075,-0.32205027,0.030152295,0.14438910000000002,0.20230378,0.35800222,-0.26344609999999996,0.28162727,0.6522745,-0.10183121
129,-780.8375599999999,260000,1755.271724,-0.11708187,-0.37152654,0.012092581000000002,0.11160849,0.19941014,0.38365436,-0.26836544,0.28021872,0.65311575,-0.09501615
130,-591.434393,262000,1768.3942,-0.11015597,-0.42359796,0.01786279,0.11299572,0.22503746,0.37839657,-0.24239624,0.27502754,0.66404,-0.097701155
131,-770.136399,264000,1782.543136,-0.109924704,-0.43696009999999996,0.019036125,0.112324215,0.22356170000000003,0.37693190000000004,-0.20694326,0.25587475,0.6774901,-0.115579665
132,-610.578446,266000,1795.4882920000002,-0.10479749,-0.40927620000000003,-0.0023374828,0.115987904,0.22542046,0.34364963,-0.18367246,0.24098850000000002,0.697896,-0.12665012
133,-729.104286,268000,1808.133612,-0.09541977,-0.40387622,-0.011868738,0.12240909,0.21447322,0.35352649999999997,-0.18572101,0.22523433,0.7156914000000001,-0.11098858
134,-517.3873629999999,270000,1821.8994109999999,-0.08100767,-0.40004179999999995,-0.0047214683,0.14879256,0.2048759,0.36393958,-0.0975095,0.23453903,0.7337214,-0.093132526
135,-910.054819,272000,1836.791354,-0.06658041,-0.38828436,0.019754024,0.17722316,0.19516356,0.36097968,-0.050440025,0.24201982,0.74702674,-0.09397085
